epoch,lr-Adam,step,test_mse,train_mse,val_mse
,0.001,0,,,
0,,0,,,155362.890625
,0.001,1,,,
1,,1,,,155297.96875
,0.001,2,,,
2,,2,,,155236.71875
,0.001,3,,,
3,,3,,,155153.59375
,0.001,4,,,
4,,4,,,155092.796875
,0.001,5,,,
5,,5,,,155039.515625
,0.001,6,,,
6,,6,,,154980.609375
,0.001,7,,,
7,,7,,,154918.234375
,0.001,8,,,
8,,8,,,154875.78125
,0.001,9,,,
9,,9,,,154825.890625
,0.001,10,,,
10,,10,,,154755.140625
,0.001,11,,,
11,,11,,,154700.84375
,0.001,12,,,
12,,12,,,154655.921875
,0.001,13,,,
13,,13,,,154618.015625
,0.001,14,,,
14,,14,,,154575.578125
,0.001,15,,,
15,,15,,,154532.515625
,0.001,16,,,
16,,16,,,154487.609375
,0.001,17,,,
17,,17,,,154443.71875
,0.001,18,,,
18,,18,,,154408.765625
,0.001,19,,,
19,,19,,,154384.890625
,0.001,20,,,
20,,20,,,154355.21875
,0.001,21,,,
21,,21,,,154326.90625
,0.001,22,,,
22,,22,,,154295.21875
,0.001,23,,,
23,,23,,,154262.9375
,0.001,24,,,
24,,24,,,154232.140625
,0.001,25,,,
25,,25,,,154195.078125
,0.001,26,,,
26,,26,,,154157.4375
,0.001,27,,,
27,,27,,,154115.1875
,0.001,28,,,
28,,28,,,154076.140625
,0.001,29,,,
29,,29,,,154053.140625
,0.001,30,,,
30,,30,,,154030.3125
,0.001,31,,,
31,,31,,,154007.3125
,0.001,32,,,
32,,32,,,153984.234375
,0.001,33,,,
33,,33,,,153961.09375
,0.001,34,,,
34,,34,,,153937.90625
,0.001,35,,,
35,,35,,,153914.40625
,0.001,36,,,
36,,36,,,153886.453125
,0.001,37,,,
37,,37,,,153858.453125
,0.001,38,,,
38,,38,,,153830.59375
,0.001,39,,,
39,,39,,,153798.578125
,0.001,40,,,
40,,40,,,153765.0
,0.001,41,,,
41,,41,,,153735.75
,0.001,42,,,
42,,42,,,153711.25
,0.001,43,,,
43,,43,,,153687.40625
,0.001,44,,,
44,,44,,,153663.59375
,0.001,45,,,
45,,45,,,153639.78125
,0.001,46,,,
46,,46,,,153616.0
,0.001,47,,,
47,,47,,,153592.234375
,0.001,48,,,
48,,48,,,153568.484375
,0.001,49,,,
49,,49,,32195.19921875,
49,,49,,,153544.703125
50,,50,169384.265625,,
