epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.001,0,,,
0,,0,,,156892.28125
,0.001,1,,,
1,,1,,,156779.84375
,0.001,2,,,
2,,2,,,156681.4375
,0.001,3,,,
3,,3,,,156563.546875
,0.001,4,,,
4,,4,,,156414.046875
,0.001,5,,,
5,,5,,,156260.234375
,0.001,6,,,
6,,6,,,156101.3125
,0.001,7,,,
7,,7,,,155875.734375
,0.001,8,,,
8,,8,,,155699.0625
,0.001,9,,,
9,,9,,,155545.140625
,0.001,10,,,
10,,10,,,155409.84375
,0.001,11,,,
11,,11,,,155264.359375
,0.001,12,,,
12,,12,,,155131.515625
,0.001,13,,,
13,,13,,,155018.8125
,0.001,14,,,
14,,14,,,154950.984375
,0.001,15,,,
15,,15,,,154885.6875
,0.001,16,,,
16,,16,,,154812.1875
,0.001,17,,,
17,,17,,,154767.078125
,0.001,18,,,
18,,18,,,154717.1875
,0.001,19,,,
19,,19,,,154656.703125
,0.001,20,,,
20,,20,,,154578.75
,0.001,21,,,
21,,21,,,154510.890625
,0.001,22,,,
22,,22,,,154454.75
,0.001,23,,,
23,,23,,,154402.8125
,0.001,24,,,
24,,24,,,154325.34375
,0.001,25,,,
25,,25,,,154257.109375
,0.001,26,,,
26,,26,,,154185.0
,0.001,27,,,
27,,27,,,154102.484375
,0.001,28,,,
28,,28,,,154028.53125
,0.001,29,,,
29,,29,,,153953.46875
,0.001,30,,,
30,,30,,,153885.84375
,0.001,31,,,
31,,31,,,153821.125
,0.001,32,,,
32,,32,,,153757.421875
,0.001,33,,,
33,,33,,,153697.5
,0.001,34,,,
34,,34,,,153640.71875
,0.001,35,,,
35,,35,,,153585.4375
,0.001,36,,,
36,,36,,,153529.921875
,0.001,37,,,
37,,37,,,153472.015625
,0.001,38,,,
38,,38,,,153410.265625
,0.001,39,,,
39,,39,,,153346.234375
,0.001,40,,,
40,,40,,,153284.65625
,0.001,41,,,
41,,41,,,153227.1875
,0.001,42,,,
42,,42,,,153172.75
,0.001,43,,,
43,,43,,,153119.78125
,0.001,44,,,
44,,44,,,153066.15625
,0.001,45,,,
45,,45,,,153011.078125
,0.001,46,,,
46,,46,,,152954.796875
,0.001,47,,,
47,,47,,,152898.328125
,0.001,48,,,
48,,48,,,152842.234375
,0.001,49,,,
49,,49,,31859.361328125,
49,,49,,,152786.5
,0.001,50,,,
50,,50,,,152731.109375
,0.001,51,,,
51,,51,,,152675.859375
,0.001,52,,,
52,,52,,,152620.5
,0.001,53,,,
53,,53,,,152564.609375
,0.001,54,,,
54,,54,,,152508.09375
,0.001,55,,,
55,,55,,,152451.28125
,0.001,56,,,
56,,56,,,152394.171875
,0.001,57,,,
57,,57,,,152335.9375
,0.001,58,,,
58,,58,,,152277.84375
,0.001,59,,,
59,,59,,,152219.125
,0.001,60,,,
60,,60,,,152159.046875
,0.001,61,,,
61,,61,,,152100.5
,0.001,62,,,
62,,62,,,152041.734375
,0.001,63,,,
63,,63,,,151982.78125
,0.001,64,,,
64,,64,,,151924.359375
,0.001,65,,,
65,,65,,,151866.328125
,0.001,66,,,
66,,66,,,151808.859375
,0.001,67,,,
67,,67,,,151751.609375
,0.001,68,,,
68,,68,,,151694.125
,0.001,69,,,
69,,69,,,151634.921875
,0.001,70,,,
70,,70,,,151575.03125
,0.001,71,,,
71,,71,,,151515.21875
,0.001,72,,,
72,,72,,,151455.78125
,0.001,73,,,
73,,73,,,151396.546875
,0.001,74,,,
74,,74,,,151337.34375
,0.001,75,,,
75,,75,,,151278.0625
,0.001,76,,,
76,,76,,,151218.5
,0.001,77,,,
77,,77,,,151158.75
,0.001,78,,,
78,,78,,,151098.859375
,0.001,79,,,
79,,79,,,151039.015625
,0.001,80,,,
80,,80,,,150979.1875
,0.001,81,,,
81,,81,,,150919.34375
,0.001,82,,,
82,,82,,,150859.328125
,0.001,83,,,
83,,83,,,150799.078125
,0.001,84,,,
84,,84,,,150738.625
,0.001,85,,,
85,,85,,,150677.953125
,0.001,86,,,
86,,86,,,150617.078125
,0.001,87,,,
87,,87,,,150556.03125
,0.001,88,,,
88,,88,,,150494.8125
,0.001,89,,,
89,,89,,,150433.4375
,0.001,90,,,
90,,90,,,150371.921875
,0.001,91,,,
91,,91,,,150310.171875
,0.001,92,,,
92,,92,,,150248.21875
,0.001,93,,,
93,,93,,,150186.078125
,0.001,94,,,
94,,94,,,150123.703125
,0.001,95,,,
95,,95,,,150061.171875
,0.001,96,,,
96,,96,,,149998.4375
,0.001,97,,,
97,,97,,,149935.5
,0.001,98,,,
98,,98,,,149872.390625
,0.001,99,,,
99,,99,,30912.404296875,
99,,99,,,149809.078125
,0.001,100,,,
100,,100,,,149745.546875
,0.001,101,,,
101,,101,,,149681.828125
,0.001,102,,,
102,,102,,,149617.9375
,0.001,103,,,
103,,103,,,149553.828125
,0.001,104,,,
104,,104,,,149489.515625
,0.001,105,,,
105,,105,,,149425.015625
,0.001,106,,,
106,,106,,,149360.296875
,0.001,107,,,
107,,107,,,149295.4375
,0.001,108,,,
108,,108,,,149230.40625
,0.001,109,,,
109,,109,,,149165.140625
,0.001,110,,,
110,,110,,,149099.65625
,0.001,111,,,
111,,111,,,149033.953125
,0.001,112,,,
112,,112,,,148968.03125
,0.001,113,,,
113,,113,,,148901.890625
,0.001,114,,,
114,,114,,,148835.515625
,0.001,115,,,
115,,115,,,148768.921875
,0.001,116,,,
116,,116,,,148702.125
,0.001,117,,,
117,,117,,,148635.0625
,0.001,118,,,
118,,118,,,148567.796875
,0.001,119,,,
119,,119,,,148500.3125
,0.001,120,,,
120,,120,,,148432.609375
,0.001,121,,,
121,,121,,,148364.6875
,0.001,122,,,
122,,122,,,148296.53125
,0.001,123,,,
123,,123,,,148228.140625
,0.001,124,,,
124,,124,,,148159.546875
,0.001,125,,,
125,,125,,,148090.734375
,0.001,126,,,
126,,126,,,148021.6875
,0.001,127,,,
127,,127,,,147952.421875
,0.001,128,,,
128,,128,,,147882.9375
,0.001,129,,,
129,,129,,,147813.234375
,0.001,130,,,
130,,130,,,147743.28125
,0.001,131,,,
131,,131,,,147673.125
,0.001,132,,,
132,,132,,,147602.75
,0.001,133,,,
133,,133,,,147532.125
,0.001,134,,,
134,,134,,,147461.28125
,0.001,135,,,
135,,135,,,147390.203125
,0.001,136,,,
136,,136,,,147318.9375
,0.001,137,,,
137,,137,,,147247.4375
,0.001,138,,,
138,,138,,,147175.671875
,0.001,139,,,
139,,139,,,147103.71875
