epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.0005,0,,,
0,,0,,,392.39495849609375
,0.0005,1,,,
1,,1,,,391.6753234863281
,0.0005,2,,,
2,,2,,,391.1031799316406
,0.0005,3,,,
3,,3,,,390.60382080078125
,0.0005,4,,,
4,,4,,,390.1878662109375
,0.0005,5,,,
5,,5,,,389.8377380371094
,0.0005,6,,,
6,,6,,,389.5194396972656
,0.0005,7,,,
7,,7,,,389.2378234863281
,0.0005,8,,,
8,,8,,,388.9774169921875
,0.0005,9,,,
9,,9,,,388.73834228515625
,0.0005,10,,,
10,,10,,,388.5209655761719
,0.0005,11,,,
11,,11,,,388.3178405761719
,0.0005,12,,,
12,,12,,,388.1416015625
,0.0005,13,,,
13,,13,,,387.9854431152344
,0.0005,14,,,
14,,14,,,387.84063720703125
,0.0005,15,,,
15,,15,,,387.70196533203125
,0.0005,16,,,
16,,16,,,387.5678405761719
,0.0005,17,,,
17,,17,,,387.438232421875
,0.0005,18,,,
18,,18,,,387.3143310546875
,0.0005,19,,,
19,,19,,,387.1961669921875
,0.0005,20,,,
20,,20,,,387.08367919921875
,0.0005,21,,,
21,,21,,,386.97784423828125
,0.0005,22,,,
22,,22,,,386.8758850097656
,0.0005,23,,,
23,,23,,,386.7778015136719
,0.0005,24,,,
24,,24,,,386.6832580566406
,0.0005,25,,,
25,,25,,,386.5920715332031
,0.0005,26,,,
26,,26,,,386.5035705566406
,0.0005,27,,,
27,,27,,,386.4173889160156
,0.0005,28,,,
28,,28,,,386.33349609375
,0.0005,29,,,
29,,29,,,386.2514953613281
,0.0005,30,,,
30,,30,,,386.1705627441406
,0.0005,31,,,
31,,31,,,386.091064453125
,0.0005,32,,,
32,,32,,,386.012939453125
,0.0005,33,,,
33,,33,,,385.93524169921875
,0.0005,34,,,
34,,34,,,385.857666015625
,0.0005,35,,,
35,,35,,,385.7801818847656
,0.0005,36,,,
36,,36,,,385.7027893066406
,0.0005,37,,,
37,,37,,,385.62554931640625
,0.0005,38,,,
38,,38,,,385.548583984375
,0.0005,39,,,
39,,39,,,385.47186279296875
,0.0005,40,,,
40,,40,,,385.3955993652344
,0.0005,41,,,
41,,41,,,385.31951904296875
,0.0005,42,,,
42,,42,,,385.2431945800781
,0.0005,43,,,
43,,43,,,385.1667175292969
,0.0005,44,,,
44,,44,,,385.0901184082031
,0.0005,45,,,
45,,45,,,385.0132751464844
,0.0005,46,,,
46,,46,,,384.9360046386719
,0.0005,47,,,
47,,47,,,384.8585205078125
,0.0005,48,,,
48,,48,,,384.78070068359375
,0.0005,49,,,
49,,49,,243.0586395263672,
49,,49,,,384.7027893066406
50,,50,403.89007568359375,,
