epoch,lr-AdamW,step,test_mse,val_mse
,0.0005,0,,
0,,0,,388.0085754394531
,0.0005,1,,
1,,1,,373.2603454589844
,0.0005,2,,
2,,2,,358.63909912109375
,0.0005,3,,
3,,3,,344.16363525390625
,0.0005,4,,
4,,4,,329.396484375
,0.0005,5,,
5,,5,,314.6358642578125
,0.0005,6,,
6,,6,,300.4190368652344
,0.0005,7,,
7,,7,,286.5011291503906
,0.0005,8,,
8,,8,,272.5267639160156
,0.0005,9,,
9,,9,,258.2384338378906
,0.0005,10,,
10,,10,,243.66448974609375
,0.0005,11,,
11,,11,,228.86929321289062
,0.0005,12,,
12,,12,,213.43069458007812
,0.0005,13,,
13,,13,,198.39271545410156
,0.0005,14,,
14,,14,,183.5933074951172
,0.0005,15,,
15,,15,,168.41021728515625
,0.0005,16,,
16,,16,,152.8380584716797
,0.0005,17,,
17,,17,,136.41188049316406
,0.0005,18,,
18,,18,,119.97782135009766
,0.0005,19,,
19,,19,,104.3582763671875
,0.0005,20,,
20,,20,,91.2022705078125
,0.0005,21,,
21,,21,,80.24028778076172
,0.0005,22,,
22,,22,,71.13446044921875
,0.0005,23,,
23,,23,,64.5749282836914
,0.0005,24,,
24,,24,,60.417205810546875
,0.0005,25,,
25,,25,,58.364540100097656
,0.0005,26,,
26,,26,,58.1026725769043
,0.0005,27,,
27,,27,,59.430908203125
,0.0005,28,,
28,,28,,62.09116744995117
,0.0005,29,,
29,,29,,65.87114715576172
,0.0005,30,,
30,,30,,70.69637298583984
,0.0005,31,,
31,,31,,76.21399688720703
32,,32,57.06561279296875,
