epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.0005,0,,,
0,,0,,,394.4721984863281
,0.0005,1,,,
1,,1,,,394.33892822265625
,0.0005,2,,,
2,,2,,,394.2068786621094
,0.0005,3,,,
3,,3,,,394.0762939453125
,0.0005,4,,,
4,,4,,,393.9469299316406
,0.0005,5,,,
5,,5,,,393.8186340332031
,0.0005,6,,,
6,,6,,,393.6911926269531
,0.0005,7,,,
7,,7,,,393.56427001953125
,0.0005,8,,,
8,,8,,,393.437744140625
,0.0005,9,,,
9,,9,,,393.3115234375
,0.0005,10,,,
10,,10,,,393.1855773925781
,0.0005,11,,,
11,,11,,,393.0597229003906
,0.0005,12,,,
12,,12,,,392.9340515136719
,0.0005,13,,,
13,,13,,,392.80841064453125
,0.0005,14,,,
14,,14,,,392.6829833984375
,0.0005,15,,,
15,,15,,,392.5575866699219
,0.0005,16,,,
16,,16,,,392.4322509765625
,0.0005,17,,,
17,,17,,,392.30712890625
,0.0005,18,,,
18,,18,,,392.18212890625
,0.0005,19,,,
19,,19,,,392.057373046875
,0.0005,20,,,
20,,20,,,391.932861328125
,0.0005,21,,,
21,,21,,,391.80853271484375
,0.0005,22,,,
22,,22,,,391.6845397949219
,0.0005,23,,,
23,,23,,,391.5608825683594
,0.0005,24,,,
24,,24,,,391.4375
,0.0005,25,,,
25,,25,,,391.31451416015625
,0.0005,26,,,
26,,26,,,391.19183349609375
,0.0005,27,,,
27,,27,,,391.0695495605469
,0.0005,28,,,
28,,28,,,390.94775390625
,0.0005,29,,,
29,,29,,,390.8262939453125
,0.0005,30,,,
30,,30,,,390.70526123046875
,0.0005,31,,,
31,,31,,,390.5847473144531
,0.0005,32,,,
32,,32,,,390.4645080566406
,0.0005,33,,,
33,,33,,,390.3448791503906
,0.0005,34,,,
34,,34,,,390.2257080078125
,0.0005,35,,,
35,,35,,,390.1070251464844
,0.0005,36,,,
36,,36,,,389.98883056640625
,0.0005,37,,,
37,,37,,,389.8711242675781
,0.0005,38,,,
38,,38,,,389.7539367675781
,0.0005,39,,,
39,,39,,,389.63720703125
,0.0005,40,,,
40,,40,,,389.5210876464844
,0.0005,41,,,
41,,41,,,389.40545654296875
,0.0005,42,,,
42,,42,,,389.29034423828125
,0.0005,43,,,
43,,43,,,389.1758117675781
,0.0005,44,,,
44,,44,,,389.06170654296875
,0.0005,45,,,
45,,45,,,388.9482116699219
,0.0005,46,,,
46,,46,,,388.835205078125
,0.0005,47,,,
47,,47,,,388.7228088378906
,0.0005,48,,,
48,,48,,,388.6108703613281
,0.0005,49,,,
49,,49,,246.74563598632812,
49,,49,,,388.49945068359375
50,,50,407.79425048828125,,
